Codigo de aliado,Usuario en SWGOH,Usuario en Telegram
336193742,RJ3017,rj3017
447693819,Frantizek Haruv,frantizek
152436162,JuakoEnte,juako_24
956273355,Paco,pacosw
371387947,NetoKenobi,netokenobi
583643412,mahugo,victor_mahugo
252188737,Rhil Karlit,carlos_hidalgo72
766565155,B1naryS0ul,b1narys0ul
285517232,Asrrat,test_de_3mb4r4z0
685715192,Michael Barroso,michael_barroso
443164238,Mini Fakie zed,fakiezed
619159633,Radix,radix510
567937686,Jogar Rex,jogarrex
465822915,Guiarw,guiarw
223384913,Viula Dourshe,viuladourshe
859956137,Killercin,killercin
993993262,Fratres,fratres
969128116,Misterfrost2,misterfrost1977
855448498,PeibowL,peibowl
434586126,Baboom,pobead
445383128,Anthony Darthsoul,protuc
142631269,AmazingAlbert,amazingalbert696
539432138,Aquilón,aquilon73
485744974,Rubell Num,rubell
924791321,Duardito,duardito
838682427,łM Albertus Desterradix,sertupy_chewbakka
692582543,łM Picథmbrute Goldhook,picambrute
885829796,Shmullus,petpardo
291214933,FranSkyguay,fran_bd
748264957,SrtaBlacky,srtablacky
557748142,Drakhammer,drakhammer
139682535,Bacterio,bacterio76
221328856,Torin Woodle,bizky0
629576362,REIVAN,reivanim
171823961,Kraetor,kraetor
385292774,D,david_1977
486369578,łM CNOS Salva,salvadm
857253836,ROGER,roger_maradona
734126584,Zeruel,zeruelshinomori
624174832,Dravhen Akkad,dravhen
961382775,Josete,josete976
135652631,yindark,yindark
866564533,ManMec,manmec
355481762,Aruberuto アルベルト,aruberuto_san
834923177,MaxPower,maxpower16
372298256,Dilvish,dilvishme
332993964,Dart Sun,dartsun
947971919,MINI adanedhel π,messi1010_10
181916315,SMora,smora14
573884449,Leonel,leonel
